Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction,Information
fever,"Pseudoeph-DM-GG-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,1 Reviews,3.00,5.00,3.00,"
					This combination medication is used to temporarily treat cough, chest congestion, and stuffy nose symptoms caused by the common cold, flu, allergies, hay fever, or other breathing illnesses (e.g., sinusitis, bronchitis). This is a brand name drug and a generic may be available. You can buy Robafen CF Multi-Symptom Cold at the discounted price of $4.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,"Pseudoeph-DM-GG-Acetaminophen, Cpm-Pseudoeph-DM-Acetaminophen",On Label,OTC,1 Reviews,3.00,5.00,3.00,"
					This combination medication is used to temporarily treat cough, chest congestion, and stuffy nose symptoms caused by the common cold, flu, allergies, hay fever, or other breathing illnesses (e.g., sinusitis, bronchitis). This is a brand name drug and a generic may be available. You can buy Robafen CF Multi-Symptom Cold at the discounted price of $4.62 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Ibuprofen,On Label,OTC,1 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 30 Tablet(s), 800mg each of the generic (ibuprofen) is $13.49. You can buy ibuprofen at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 78%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Ibuprofen,On Label,OTC,1 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 30 Tablet(s), 800mg each of the generic (ibuprofen) is $13.49. You can buy ibuprofen at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 78%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Ibuprofen,On Label,OTC,1 Reviews,4.00,3.00,4.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 30 Tablet(s), 800mg each of the generic (ibuprofen) is $13.49. You can buy ibuprofen at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 78%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Doxylamine-PE-DM-Acetaminophen,On Label,OTC,1 Reviews,4.00,5.00,3.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 100 capsules  each, is $8.69. You can buy E-400 at the discounted price of $7.07 by using the WebMDRx coupon, a savings of 19%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,"Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed",On Label,OTC,1 Reviews,3.00,3.00,3.00,"
					This combination medication is used to temporarily relieve symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). This is a brand name drug and a generic may be available. The average cash price for 1 Box, 24 tablets each of the generic (pseudoephedrine hcl) is $7.99. You can buy pseudoephedrine hcl at the discounted price of $4.49 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,"Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed",On Label,OTC,1 Reviews,3.00,3.00,3.00,"
					This combination medication is used to temporarily relieve symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). This is a brand name drug and a generic may be available. The average cash price for 1 Box, 24 tablets each of the generic (pseudoephedrine hcl) is $7.99. You can buy pseudoephedrine hcl at the discounted price of $4.49 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,"Pseudoephed-DM-Acetaminophen, Phenylpropanolamine-GG, Chlorpheniramine-Pseudoephed",On Label,OTC,1 Reviews,3.00,3.00,3.00,"
					This combination medication is used to temporarily relieve symptoms caused by the common cold, flu, allergies, or other breathing illnesses (such as sinusitis, bronchitis). This is a brand name drug and a generic may be available. The average cash price for 1 Box, 24 tablets each of the generic (pseudoephedrine hcl) is $7.99. You can buy pseudoephedrine hcl at the discounted price of $4.49 by using the WebMDRx coupon, a savings of 44%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Acetaminophen,On Label,OTC,1 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 30 Tablet(s), 500mg each of the generic (acetaminophen) is $11.99. You can buy acetaminophen at the discounted price of $2.79 by using the WebMDRx coupon, a savings of 77%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Chlorpheniram-DM-Acetaminophen,On Label,OTC,1 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 118ml of 20-400mg/20ml  each, is $8.79. You can buy Robitussin Cough+Chest Cong DM at the discounted price of $6.04 by using the WebMDRx coupon, a savings of 31%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Doxylamine-PE-DM-Acetaminophen,On Label,OTC,1 Reviews,5.00,4.00,4.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 100 capsules  each, is $8.69. You can buy E-400 at the discounted price of $7.07 by using the WebMDRx coupon, a savings of 19%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Doxylamin-PSE-DM-Acetaminophen,On Label,OTC,1 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 355ml of 15-6.25-325mg/15ml  each, is $6.87. You can buy Coricidin HBP Nighttime Cold at the discounted price of $6.73 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Phenylephrine-DM-Acetaminophen,On Label,OTC,1 Reviews,4.00,5.00,4.00,"
					This combination medication is used to temporarily treat cough, stuffy nose, body aches, and other symptoms (e.g., fever, headache, sore throat) caused by the common cold, flu, or other breathing illnesses (e.g., sinusitis, bronchitis). This is a brand name drug and a generic may be available. The average cash price for 1 Box, 6 packet  each, is $12.11. You can buy Theraflu Severe Cold at the discounted price of $7.96 by using the WebMDRx coupon, a savings of 34%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fever,Doxylam-PE-DM-Acetaminophen-GG,On Label,OTC,1 Reviews,4.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Package, 708ml of   each, is $24.23. You can buy Vicks DayQuil/NyQuil Severe at the discounted price of $19.01 by using the WebMDRx coupon, a savings of 22%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Duloxetine,On Label,RX,4647 Reviews,3.41,4.13,3.08,"
					Duloxetine is used to treat depression and anxiety. This is a generic drug. You can buy duloxetine hcl at the discounted price of $51.04 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Pregabalin,On Label,RX,3066 Reviews,3.38,4.07,3.00,"
					This medication is used to treat pain caused by nerve damage due to diabetes, shingles (herpes zoster) infection, or spinal cord injury. This is a generic drug. The average cash price for 30 Capsule(s), 75mg each of the generic (pregabalin) is $196.99. You can buy pregabalin at the discounted price of $52.49 by using the WebMDRx coupon, a savings of 73%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Amitriptyline,Off Label,RX,1126 Reviews,3.53,4.29,3.15,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Cyclobenzaprine,Off Label,RX,772 Reviews,3.60,4.31,3.34,"
					Cyclobenzaprine is used short-term to treat muscle spasms. This is a generic drug. The average cash price for 30 Tablet(s), 10mg each of the generic (cyclobenzaprine hcl) is $20.39. You can buy cyclobenzaprine hcl at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 85%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Paroxetine Hcl,Off Label,RX,728 Reviews,3.72,4.23,3.23,"
					Paroxetine is used to treat depression, panic attacks, anxiety disorders, and a severe form of premenstrual syndrome (premenstrual dysphoric disorder). This is a generic drug. The average cash price for 30 Tablet Extended Release 24 Hour(s), 25mg each of the generic (paroxetine hcl er) is $128.99. You can buy paroxetine hcl er at the discounted price of $76.17 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Cyclobenzaprine,Off Label,RX,479 Reviews,3.43,4.22,3.22,"
					Cyclobenzaprine is used short-term to treat muscle spasms. This is a generic drug. The average cash price for 30 Tablet(s), 10mg each of the generic (cyclobenzaprine hcl) is $20.39. You can buy cyclobenzaprine hcl at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 85%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Mirtazapine,Off Label,RX,463 Reviews,3.26,4.23,2.90,"
					Mirtazapine is used to treat depression. This is a generic drug. The average cash price for 30 Tablet(s), 15mg each of the generic (mirtazapine) is $52.99. You can buy mirtazapine at the discounted price of $23.56 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Mirtazapine,Off Label,RX,463 Reviews,3.26,4.23,2.90,"
					Mirtazapine is used to treat depression. This is a generic drug. The average cash price for 30 Tablet(s), 15mg each of the generic (mirtazapine) is $52.99. You can buy mirtazapine at the discounted price of $23.56 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Amitriptyline,Off Label,RX,409 Reviews,3.36,4.15,3.02,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Pramipexole,Off Label,RX,332 Reviews,3.96,4.27,3.71,"
					Pramipexole is used alone or with other medications to treat Parkinson's disease. This is a generic drug. The average cash price for 30 Tablet(s), 0.5mg each of the generic (pramipexole dihydrochloride) is $89.99. You can buy pramipexole dihydrochloride at the discounted price of $23.56 by using the WebMDRx coupon, a savings of 74%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Paroxetine Hcl,Off Label,RX,298 Reviews,3.36,4.24,3.00,"
					Paroxetine is used to treat depression, panic attacks, obsessive-compulsive disorder (OCD), anxiety disorders, and post-traumatic stress disorder. This is a generic drug. You can buy paroxetine hcl at the discounted price of $13.99 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Paroxetine Hcl,Off Label,RX,298 Reviews,3.36,4.24,3.00,"
					Paroxetine is used to treat depression, panic attacks, obsessive-compulsive disorder (OCD), anxiety disorders, and post-traumatic stress disorder. This is a generic drug. You can buy paroxetine hcl at the discounted price of $13.99 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Paroxetine Hcl,Off Label,RX,298 Reviews,3.36,4.24,3.00,"
					Paroxetine is used to treat depression, panic attacks, obsessive-compulsive disorder (OCD), anxiety disorders, and post-traumatic stress disorder. This is a generic drug. You can buy paroxetine hcl at the discounted price of $13.99 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Cyclobenzaprine,Off Label,RX,219 Reviews,3.12,4.18,2.97,"
					Cyclobenzaprine is used short-term to treat muscle spasms. This is a generic drug. The average cash price for 30 Tablet(s), 10mg each of the generic (cyclobenzaprine hcl) is $20.39. You can buy cyclobenzaprine hcl at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 85%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Tramadol-Acetaminophen,Off Label,RX,176 Reviews,3.32,4.40,3.13,"
					 This is a generic drug. The average cash price for 20 Tablet(s), 37.5-325mg each of the generic (tramadol-acetaminophen) is $26.89. You can buy tramadol-acetaminophen at the discounted price of $12.49 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Tramadol-Acetaminophen,Off Label,RX,133 Reviews,3.07,4.07,2.90,"
					 This is a generic drug. The average cash price for 20 Tablet(s), 37.5-325mg each of the generic (tramadol-acetaminophen) is $26.89. You can buy tramadol-acetaminophen at the discounted price of $12.49 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Duloxetine,On Label,RX,132 Reviews,3.51,3.85,3.21,"
					Duloxetine is used to treat depression and anxiety. This is a generic drug. You can buy duloxetine hcl at the discounted price of $51.04 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Duloxetine,On Label,RX,132 Reviews,3.51,3.85,3.21,"
					Duloxetine is used to treat depression and anxiety. This is a generic drug. You can buy duloxetine hcl at the discounted price of $51.04 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Pramipexole,Off Label,RX,84 Reviews,4.00,4.27,3.81,"
					Pramipexole is used alone or with other medications to treat Parkinson's disease. This is a generic drug. The average cash price for 30 Tablet(s), 0.5mg each of the generic (pramipexole dihydrochloride) is $89.99. You can buy pramipexole dihydrochloride at the discounted price of $23.56 by using the WebMDRx coupon, a savings of 74%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Pramipexole,Off Label,RX,84 Reviews,4.00,4.27,3.81,"
					Pramipexole is used alone or with other medications to treat Parkinson's disease. This is a generic drug. The average cash price for 30 Tablet(s), 0.5mg each of the generic (pramipexole dihydrochloride) is $89.99. You can buy pramipexole dihydrochloride at the discounted price of $23.56 by using the WebMDRx coupon, a savings of 74%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Amitriptyline,Off Label,RX,33 Reviews,2.80,3.90,2.40,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Mirtazapine,Off Label,RX,23 Reviews,3.36,4.00,3.18,"
					Mirtazapine is used to treat depression. This is a generic drug. The average cash price for 30 Tablet(s), 15mg each of the generic (mirtazapine) is $52.99. You can buy mirtazapine at the discounted price of $23.56 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Pramipexole,Off Label,RX,18 Reviews,4.43,4.43,4.00,"
					Pramipexole is used alone or with other medications to treat Parkinson's disease. This is a generic drug. The average cash price for 1 Bottle, 30 tablets extended release 24 hour each of the generic (pramipexole dihydrochloride er) is $421.99. You can buy pramipexole dihydrochloride er at the discounted price of $202.18 by using the WebMDRx coupon, a savings of 52%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Cyclobenzaprine,Off Label,RX,13 Reviews,4.25,5.00,4.00,"
					Cyclobenzaprine is used short-term to treat muscle spasms. This is a generic drug. The average cash price for 30 Tablet(s), 10mg each of the generic (cyclobenzaprine hcl) is $20.39. You can buy cyclobenzaprine hcl at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 85%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Milnacipran,On Label,RX,9 Reviews,3.57,4.29,3.57,"
					 This is a brand name drug and a generic may be available. The average cash price for 60 Tablet(s), 100mg  each, is $477.99. You can buy Savella at the discounted price of $401.74 by using the WebMDRx coupon, a savings of 16%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Duloxetine,On Label,RX,1 Reviews,5.00,4.00,4.00,"
					Duloxetine is used to treat depression and anxiety. This is a generic drug. You can buy duloxetine hcl at the discounted price of $51.04 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
fibromyalgia,Amitriptyline,Off Label,RX,1 Reviews,3.00,4.00,3.00,"
					This medication is used to treat mental/mood problems such as depression. This is a generic drug. You can buy amitriptyline hcl at the discounted price of $11.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,31 Reviews,3.68,4.46,3.46,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,31 Reviews,3.68,4.46,3.46,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,31 Reviews,3.68,4.46,3.46,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,25 Reviews,2.64,4.64,2.82,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,25 Reviews,2.64,4.64,2.82,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,17 Reviews,4.25,4.56,4.00,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,17 Reviews,4.25,4.56,4.00,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,17 Reviews,4.25,4.56,4.00,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Alum-Mag Hydroxide-Simeth,On Label,OTC,11 Reviews,3.00,4.00,2.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,10 Reviews,4.60,4.80,4.60,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,10 Reviews,4.60,4.80,4.60,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,8 Reviews,4.50,4.67,4.33,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,8 Reviews,4.50,4.67,4.33,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Calcium Carbonate-Simethicone,On Label,OTC,6 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,5 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,5 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,"Aluminum-Magnesium Hydroxide, Calcium Carbonate, Alum-Mag Hydroxide-Simeth",On Label,OTC,5 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Calcium Carbonate-Simethicone,On Label,OTC,3 Reviews,5.00,5.00,5.00,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Bottle, 769ml of 200-200-20mg/5ml each of the generic (antacid & antigas) is $11.99. You can buy antacid & antigas at the discounted price of $7.11 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
flatulence,Simethicone,On Label,OTC,3 Reviews,4.67,5.00,4.67,"
					This product is used to relieve symptoms of extra gas such as belching, bloating, and feelings of pressure/discomfort in the stomach/gut. This is a generic drug. The average cash price for 1 Bottle, 60 tablets chewable each of the generic (simethicone) is $11.90. You can buy simethicone at the discounted price of $5.21 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
